instance;min;max;diff
500_5_30_8_0.2_0.1_3_Y;227;226;-1
500_5_30_8_0.2_0.1_3_N;222;224;2
500_5_30_8_0.4_0.3_3_Y;291;291;0
500_5_30_8_0.4_0.3_3_N;366;366;0
500_5_30_10_0.2_0.1_3_N;221;222;1
500_5_30_10_0.2_0.1_3_Y;222;226;4
500_5_30_10_0.4_0.3_3_Y;359;360;1
500_5_30_10_0.4_0.3_3_N;358;360;2
500_5_30_12_0.2_0.1_3_Y;224;217;-7
500_5_30_12_0.2_0.1_3_N;220;224;4
500_5_30_12_0.4_0.3_3_Y;363;361;-2
500_5_30_12_0.4_0.3_3_N;363;362;-1
2000_8_30_8_0.2_0.1_4_Y;897;896;-1
2000_8_30_8_0.2_0.1_4_N;896;895;-1
2000_8_30_8_0.4_0.3_4_N;1476;1476;0
2000_8_30_8_0.4_0.3_4_Y;1476;1474;-2
2000_8_30_10_0.2_0.1_4_N;933;928;-5
2000_8_30_10_0.4_0.3_4_N;1476;1477;1
2000_8_30_12_0.2_0.1_4_Y;957;950;-7
2000_8_30_12_0.2_0.1_4_N;964;958;-6
2000_8_30_12_0.4_0.3_4_Y;1484;1474;-10
2000_8_30_12_0.4_0.3_4_N;1485;1481;-4
7500_15_30_8_0.2_0.1_8_Y;3463;3441;-22
7500_15_30_8_0.2_0.1_8_N;3488;3496;8
7500_15_30_8_0.4_0.3_8_N;5587;5596;9
7500_15_30_8_0.4_0.3_8_Y;5484;5457;-27
7500_15_30_10_0.2_0.1_8_Y;3560;3573;13
7500_15_30_10_0.2_0.1_8_N;3642;3635;-7
7500_15_30_10_0.4_0.3_8_Y;0;5468;5468
7500_15_30_10_0.4_0.3_8_N;5600;5621;21
7500_15_30_12_0.2_0.1_8_N;3601;3575;-26
7500_15_30_12_0.2_0.1_8_Y;3542;3531;-11
7500_15_30_12_0.4_0.3_8_N;5630;5615;-15
7500_15_30_12_0.4_0.3_8_Y;5512;5476;-36